source_id,target_id
_AiuxcDVdEeqPG_FgW3bi6Q,services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/
_AiuxcDVdEeqPG_FgW3bi6Q,services/tools.descartes.teastore.auth/src/test/java/tools/descartes/teastore/auth/
_BYKdQDVgEeqPG_FgW3bi6Q,services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/algorithm/IRecommender.java
_Mh_1QDVcEeqPG_FgW3bi6Q,services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/repository/AbstractPersistenceRepository.java
_Sb4SYDVfEeqPG_FgW3bi6Q,services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/algorithm/IRecommender.java
_YkXeIDVgEeqPG_FgW3bi6Q,services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/algorithm/impl/cf/SlopeOneRecommender.java
_YkXeIDVgEeqPG_FgW3bi6Q,services/tools.descartes.teastore.recommender/src/test/java/tools/descartes/teastore/recommender/algorithm/SlopeOneRecommenderTest.java
_bC13QDVWEeqPG_FgW3bi6Q,services/tools.descartes.teastore.webui/src/main/java/tools/descartes/teastore/webui/
_bC13QDVWEeqPG_FgW3bi6Q,tools/test_webui.sh
_dhM6oDVXEeqPG_FgW3bi6Q,services/tools.descartes.teastore.registry/src/main/java/tools/descartes/teastore/registry/
_g6IlUDVXEeqPG_FgW3bi6Q,services/tools.descartes.teastore.webui/src/main/java/tools/descartes/teastore/webui/servlet/CartActionServlet.java
_gGczsDVZEeqPG_FgW3bi6Q,utilities/tools.descartes.teastore.registryclient/src/main/java/tools/descartes/teastore/registryclient/loadbalancers/ServiceLoadBalancer.java
_iaElgKpwEeqHXcsU55mirw,services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/algorithm/impl/cf/PreprocessedSlopeOneRecommender.java
_iaElgKpwEeqHXcsU55mirw,services/tools.descartes.teastore.recommender/src/test/java/tools/descartes/teastore/recommender/algorithm/PreprocessedSlopeOneRecommenderTest.java
_kgbngDVgEeqPG_FgW3bi6Q,services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/algorithm/impl/orderbased/OrderBasedRecommender.java
_kgbngDVgEeqPG_FgW3bi6Q,services/tools.descartes.teastore.recommender/src/test/java/tools/descartes/teastore/recommender/algorithm/OrderBasedRecommenderTest.java
_lnx1oDVWEeqPG_FgW3bi6Q,services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/
_lnx1oDVWEeqPG_FgW3bi6Q,services/tools.descartes.teastore.persistence/src/test/java/tools/descartes/teastore/persistence/
_m3fxEDVWEeqPG_FgW3bi6Q,services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/algorithm/AbstractRecommender.java
_m3fxEDVWEeqPG_FgW3bi6Q,services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/algorithm/IRecommender.java
_m3fxEDVWEeqPG_FgW3bi6Q,services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/algorithm/OrderItemSet.java
_m3fxEDVWEeqPG_FgW3bi6Q,services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/algorithm/RecommenderSelector.java
_m3fxEDVWEeqPG_FgW3bi6Q,services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/algorithm/impl/UseFallBackException.java
_m3fxEDVWEeqPG_FgW3bi6Q,services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/rest/
_m3fxEDVWEeqPG_FgW3bi6Q,services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/servlet/
_m3fxEDVWEeqPG_FgW3bi6Q,services/tools.descartes.teastore.recommender/src/test/java/tools/descartes/teastore/recommender/algorithm/AbstractRecommenderFunctionalityTest.java
_m3fxEDVWEeqPG_FgW3bi6Q,services/tools.descartes.teastore.recommender/src/test/java/tools/descartes/teastore/recommender/algorithm/AbstractRecommenderTest.java
_oPBcMKTJEeqKjI323B3R3w,services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/ImageProvider.java
_ouzFYDVgEeqPG_FgW3bi6Q,services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/algorithm/impl/DummyRecommender.java
_ouzFYDVgEeqPG_FgW3bi6Q,services/tools.descartes.teastore.recommender/src/test/java/tools/descartes/teastore/recommender/algorithm/DummyRecommenderTest.java
_py9KsDVYEeqPG_FgW3bi6Q,services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/rest/AuthCartRest.java
_py9KsDVYEeqPG_FgW3bi6Q,services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/rest/AuthUserActionsRest.java
_raxjcDVgEeqPG_FgW3bi6Q,services/tools.descartes.teastore.recommender/src/main/java/tools/descartes/teastore/recommender/algorithm/impl/pop/PopularityBasedRecommender.java
_raxjcDVgEeqPG_FgW3bi6Q,services/tools.descartes.teastore.recommender/src/test/java/tools/descartes/teastore/recommender/algorithm/PopularityBasedRecommenderTest.java
_uy1agDVXEeqPG_FgW3bi6Q,services/tools.descartes.teastore.webui/src/main/java/tools/descartes/teastore/webui/servlet/ProductServlet.java
_yA04AKTKEeqKjI323B3R3w,services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/
_yA04AKTKEeqKjI323B3R3w,services/tools.descartes.teastore.image/src/test/java/tools/descartes/teastore/image/
