source_id,target_id
_Coy0kEl4Ee243f2e4VWs6w,src/main/java/org/jabref/gui/
_Coy0kEl4Ee243f2e4VWs6w,src/test/java/org/jabref/gui/
_EBiwMEl4Ee243f2e4VWs6w,src/main/java/org/jabref/cli/
_EBiwMEl4Ee243f2e4VWs6w,src/test/java/org/jabref/cli/
_He3LoEl4Ee243f2e4VWs6w,buildSrc/src/copied/java/org/jabref/logic/
_He3LoEl4Ee243f2e4VWs6w,src/main/java/org/jabref/logic/
_He3LoEl4Ee243f2e4VWs6w,src/test/java/org/jabref/logic/
_KsOfgEl4Ee243f2e4VWs6w,src/main/java/org/jabref/gui/Globals.java
_MFIzMEl4Ee243f2e4VWs6w,src/main/java/org/jabref/model/
_MFIzMEl4Ee243f2e4VWs6w,src/test/java/org/jabref/model/
_NUdtEEl4Ee243f2e4VWs6w,src/main/java/org/jabref/preferences/
