sentence_id,via_component,target_id
1,_st2Y0HDrEeSqnN80MQ2uGw,mediastore.ejb.facade/src/edu/kit/ipd/sdq/mediastore/ejb/facade/FacadeImpl.java
3,_st2Y0HDrEeSqnN80MQ2uGw,mediastore.ejb.facade/src/edu/kit/ipd/sdq/mediastore/ejb/facade/FacadeImpl.java
6,_st2Y0HDrEeSqnN80MQ2uGw,mediastore.ejb.facade/src/edu/kit/ipd/sdq/mediastore/ejb/facade/FacadeImpl.java
7,_p_EeYHDrEeSqnN80MQ2uGw,mediastore.ejb.mediamanagement/src/edu/kit/ipd/sdq/mediastore/ejb/mediamanagement/MediaManagementImpl.java
8,_p_EeYHDrEeSqnN80MQ2uGw,mediastore.ejb.mediamanagement/src/edu/kit/ipd/sdq/mediastore/ejb/mediamanagement/MediaManagementImpl.java
11,_ahv3gL0YEeSAHuL4ItXOLQ,mediastore.ejb.usermanagement/ejbModule/edu/kit/ipd/sdq/mediastore/ejb/usermanagement/SecurityUtil.java
11,_ahv3gL0YEeSAHuL4ItXOLQ,mediastore.ejb.usermanagement/ejbModule/edu/kit/ipd/sdq/mediastore/ejb/usermanagement/UserManagementImpl.java
12,_tBjC0HDpEeSqnN80MQ2uGw,mediastore.ejb.userdbadapter/src/edu/kit/ipd/sdq/mediastore/ejb/userdbadapter/UserDBAdapterImpl.java
12,_tBjC0HDpEeSqnN80MQ2uGw,mediastore.ejb.userdbadapter/src/edu/kit/ipd/sdq/mediastore/ejb/userdbadapter/User.java
13,_ahv3gL0YEeSAHuL4ItXOLQ,mediastore.ejb.usermanagement/ejbModule/edu/kit/ipd/sdq/mediastore/ejb/usermanagement/SecurityUtil.java
13,_ahv3gL0YEeSAHuL4ItXOLQ,mediastore.ejb.usermanagement/ejbModule/edu/kit/ipd/sdq/mediastore/ejb/usermanagement/UserManagementImpl.java
16,_h_QpkLhEEeSNPorBlo7x9g,mediastore.ejb.tagwatermarking/src/edu/kit/ipd/sdq/mediastore/ejb/tagwatermarking/TagWatermarkingImpl.java
17,_p_EeYHDrEeSqnN80MQ2uGw,mediastore.ejb.mediamanagement/src/edu/kit/ipd/sdq/mediastore/ejb/mediamanagement/MediaManagementImpl.java
17,_h_QpkLhEEeSNPorBlo7x9g,mediastore.ejb.tagwatermarking/src/edu/kit/ipd/sdq/mediastore/ejb/tagwatermarking/TagWatermarkingImpl.java
19,_B5geQHDsEeSqnN80MQ2uGw,mediastore.ejb.packaging/src/edu/kit/ipd/sdq/mediastore/ejb/packaging/PackagingImpl.java
20,_o10-YHDrEeSqnN80MQ2uGw,mediastore.ejb.reencoder/src/edu/kit/ipd/sdq/mediastore/ejb/reencoder/ReEncoderImpl.java
23,_5LN7MLg2EeSNPorBlo7x9g,mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/DbManager.java
23,_5LN7MLg2EeSNPorBlo7x9g,mediastore.ejb.userdbadapter/src/edu/kit/ipd/sdq/mediastore/ejb/userdbadapter/DbManager.java
23,_5LN7MLg2EeSNPorBlo7x9g,mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/DbException.java
25,_9eK7YHDrEeSqnN80MQ2uGw,mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/Audio.java
25,_9eK7YHDrEeSqnN80MQ2uGw,mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/MediaAccessImpl.java
