sentence_id,via_component,target_id
5,_0e5u8FkHEeyewPSmlgszyA,bbb-graphql-client-test/deploy.sh
5,_0e5u8FkHEeyewPSmlgszyA,bbb-graphql-middleware/demo/client/run-watch.sh
5,_0e5u8FkHEeyewPSmlgszyA,bbb-graphql-middleware/demo/client/run.sh
5,_0e5u8FkHEeyewPSmlgszyA,bbb-graphql-middleware/demo/client/stress-test.sh
5,_0e5u8FkHEeyewPSmlgszyA,bigbluebutton-html5/deploy_to_usr_share.sh
5,_0e5u8FkHEeyewPSmlgszyA,bigbluebutton-html5/run-dev.sh
5,_0e5u8FkHEeyewPSmlgszyA,bigbluebutton-html5/test-html5.sh
5,_0e5u8FkHEeyewPSmlgszyA,bigbluebutton-html5/transifex.sh
5,_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5-nodejs/build.sh
5,_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/after-install.sh
5,_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/after-remove.sh
5,_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/before-install.sh
5,_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/before-remove.sh
5,_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/build.sh
5,_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/kill_mongo.sh
5,_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/mongod_start_pre.sh
5,_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/opts-jammy.sh
5,_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/run_mongo.sh
5,_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/systemd_start.sh
5,_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/systemd_start_frontend.sh
5,_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/workers-start.sh
6,_0e5u8FkHEeyewPSmlgszyA,bbb-graphql-client-test/deploy.sh
6,_0e5u8FkHEeyewPSmlgszyA,bbb-graphql-middleware/demo/client/run-watch.sh
6,_0e5u8FkHEeyewPSmlgszyA,bbb-graphql-middleware/demo/client/run.sh
6,_0e5u8FkHEeyewPSmlgszyA,bbb-graphql-middleware/demo/client/stress-test.sh
6,_0e5u8FkHEeyewPSmlgszyA,bigbluebutton-html5/deploy_to_usr_share.sh
6,_0e5u8FkHEeyewPSmlgszyA,bigbluebutton-html5/run-dev.sh
6,_0e5u8FkHEeyewPSmlgszyA,bigbluebutton-html5/test-html5.sh
6,_0e5u8FkHEeyewPSmlgszyA,bigbluebutton-html5/transifex.sh
6,_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5-nodejs/build.sh
6,_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/after-install.sh
6,_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/after-remove.sh
6,_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/before-install.sh
6,_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/before-remove.sh
6,_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/build.sh
