task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-doc,aalinker,gpt-5.4_full,gpt-5.4,full,run1,mediastore,29,1.0000,0.9355,0.9667,agent-linker/results/v2.6.6_extracts/gpt/run1/mediastore.json,c20c992bcdf73dc3
model-doc,aalinker,gpt-5.4_full,gpt-5.4,full,run1,teastore,26,1.0000,0.9630,0.9811,agent-linker/results/v2.6.6_extracts/gpt/run1/teastore.json,30e6a15839f8602a
model-doc,aalinker,gpt-5.4_full,gpt-5.4,full,run1,teammates,62,0.8065,0.8772,0.8403,agent-linker/results/v2.6.6_extracts/gpt/run1/teammates.json,beb4f720817990ee
model-doc,aalinker,gpt-5.4_full,gpt-5.4,full,run1,bigbluebutton,44,0.9091,0.6452,0.7547,agent-linker/results/v2.6.6_extracts/gpt/run1/bigbluebutton.json,a83ab3b8c8b1e19f
model-doc,aalinker,gpt-5.4_full,gpt-5.4,full,run1,jabref,17,0.9412,0.8889,0.9143,agent-linker/results/v2.6.6_extracts/gpt/run1/jabref.json,ed4c311dd8c7dc2a
model-doc,aalinker,gpt-5.4_full,gpt-5.4,full,run2,mediastore,30,0.9667,0.9355,0.9508,agent-linker/results/v2.6.6_extracts/gpt/run2/mediastore.json,0c0a406899d313f9
model-doc,aalinker,gpt-5.4_full,gpt-5.4,full,run2,teastore,26,1.0000,0.9630,0.9811,agent-linker/results/v2.6.6_extracts/gpt/run2/teastore.json,c565e27b1ff0c50f
model-doc,aalinker,gpt-5.4_full,gpt-5.4,full,run2,teammates,58,0.8276,0.8421,0.8348,agent-linker/results/v2.6.6_extracts/gpt/run2/teammates.json,b28a1813cc0a562a
model-doc,aalinker,gpt-5.4_full,gpt-5.4,full,run2,bigbluebutton,44,0.9318,0.6613,0.7736,agent-linker/results/v2.6.6_extracts/gpt/run2/bigbluebutton.json,0d15b6819793e085
model-doc,aalinker,gpt-5.4_full,gpt-5.4,full,run2,jabref,16,1.0000,0.8889,0.9412,agent-linker/results/v2.6.6_extracts/gpt/run2/jabref.json,9e6cb0bc9d77ea79
model-doc,aalinker,gpt-5.4_full,gpt-5.4,full,run3,mediastore,30,0.9667,0.9355,0.9508,agent-linker/results/v2.6.6_extracts/gpt/run3/mediastore.json,25276aae4d97614a
model-doc,aalinker,gpt-5.4_full,gpt-5.4,full,run3,teastore,26,1.0000,0.9630,0.9811,agent-linker/results/v2.6.6_extracts/gpt/run3/teastore.json,1b6cd920186bcf80
model-doc,aalinker,gpt-5.4_full,gpt-5.4,full,run3,teammates,58,0.8276,0.8421,0.8348,agent-linker/results/v2.6.6_extracts/gpt/run3/teammates.json,3acc0ceebfe602c2
model-doc,aalinker,gpt-5.4_full,gpt-5.4,full,run3,bigbluebutton,43,0.9302,0.6452,0.7619,agent-linker/results/v2.6.6_extracts/gpt/run3/bigbluebutton.json,22a6189ed5457ac0
model-doc,aalinker,gpt-5.4_full,gpt-5.4,full,run3,jabref,16,1.0000,0.8889,0.9412,agent-linker/results/v2.6.6_extracts/gpt/run3/jabref.json,da3e581669be8de1
model-doc,aalinker,sonnet_full,sonnet,full,run1,mediastore,32,0.9688,1.0000,0.9841,agent-linker/results/v2.6.6_extracts/sonnet/run1/mediastore.json,3d8a746784a655d2
model-doc,aalinker,sonnet_full,sonnet,full,run1,teastore,28,0.9643,1.0000,0.9818,agent-linker/results/v2.6.6_extracts/sonnet/run1/teastore.json,67ad8cebb31abf74
model-doc,aalinker,sonnet_full,sonnet,full,run1,teammates,57,0.9123,0.9123,0.9123,agent-linker/results/v2.6.6_extracts/sonnet/run1/teammates.json,b2ce92c0961dbef3
model-doc,aalinker,sonnet_full,sonnet,full,run1,bigbluebutton,47,0.9574,0.7258,0.8257,agent-linker/results/v2.6.6_extracts/sonnet/run1/bigbluebutton.json,0d81a2c2acf09429
model-doc,aalinker,sonnet_full,sonnet,full,run1,jabref,18,1.0000,1.0000,1.0000,agent-linker/results/v2.6.6_extracts/sonnet/run1/jabref.json,75991982af05a2e4
model-doc,aalinker,sonnet_full,sonnet,full,run2,mediastore,28,1.0000,0.9032,0.9492,agent-linker/results/v2.6.6_extracts/sonnet/run2/mediastore.json,09ee29256e14f29f
